[Epoch 0/100] [Batch 0/204] [D loss: 1.554130] [G loss: 10.947254, adv: 1.405448, cycle: 0.638170, identity: 0.632022] ETA: 22:03:18.579311
[Epoch 0/100] [Batch 1/204] [D loss: 8.957420] [G loss: 15.684412, adv: 7.616052, cycle: 0.555801, identity: 0.502071] ETA: 1 day, 0:20:45.737571
[Epoch 0/100] [Batch 2/204] [D loss: 1.612330] [G loss: 10.193145, adv: 1.717605, cycle: 0.581928, identity: 0.531253] ETA: 1 day, 0:11:46.175776
[Epoch 0/100] [Batch 3/204] [D loss: 1.588731] [G loss: 9.562698, adv: 1.475786, cycle: 0.544285, identity: 0.528812] ETA: 1 day, 0:07:43.126117
[Epoch 0/100] [Batch 4/204] [D loss: 1.275106] [G loss: 8.243172, adv: 1.252548, cycle: 0.464586, identity: 0.468953] ETA: 1 day, 0:10:10.367572
[Epoch 0/100] [Batch 5/204] [D loss: 1.303947] [G loss: 7.446135, adv: 1.349195, cycle: 0.410451, identity: 0.398486] ETA: 1 day, 0:11:38.874054
[Epoch 0/100] [Batch 6/204] [D loss: 1.124441] [G loss: 7.289619, adv: 1.157160, cycle: 0.419453, identity: 0.387585] ETA: 1 day, 0:08:11.893813
[Epoch 0/100] [Batch 7/204] [D loss: 1.040894] [G loss: 6.800380, adv: 1.192276, cycle: 0.383526, identity: 0.354568] ETA: 1 day, 0:09:44.466141
[Epoch 0/100] [Batch 8/204] [D loss: 0.948226] [G loss: 6.349895, adv: 1.057989, cycle: 0.360940, identity: 0.336502] ETA: 1 day, 0:10:50.896627
[Epoch 0/100] [Batch 9/204] [D loss: 0.896339] [G loss: 6.289457, adv: 0.929822, cycle: 0.365473, identity: 0.340982] ETA: 1 day, 0:12:55.323849
[Epoch 0/100] [Batch 10/204] [D loss: 0.811666] [G loss: 5.717934, adv: 0.880763, cycle: 0.329487, identity: 0.308459] ETA: 1 day, 0:12:14.535027
[Epoch 0/100] [Batch 11/204] [D loss: 0.778011] [G loss: 5.867971, adv: 0.790867, cycle: 0.346076, identity: 0.323269] ETA: 1 day, 1:40:25.781986
[Epoch 0/100] [Batch 12/204] [D loss: 0.731318] [G loss: 5.414778, adv: 0.743020, cycle: 0.318524, identity: 0.297303] ETA: 1 day, 0:16:44.161700
[Epoch 0/100] [Batch 13/204] [D loss: 0.735039] [G loss: 5.209163, adv: 0.765478, cycle: 0.301319, identity: 0.286100] ETA: 1 day, 0:12:49.771983
[Epoch 0/100] [Batch 14/204] [D loss: 0.715233] [G loss: 5.133054, adv: 0.722916, cycle: 0.298092, identity: 0.285844] ETA: 1 day, 0:12:54.609483
[Epoch 0/100] [Batch 15/204] [D loss: 0.614255] [G loss: 5.255206, adv: 0.664748, cycle: 0.313643, identity: 0.290806] ETA: 1 day, 0:12:01.717075
[Epoch 0/100] [Batch 16/204] [D loss: 0.673554] [G loss: 5.315838, adv: 0.620756, cycle: 0.318534, identity: 0.301948] ETA: 1 day, 0:16:55.308022
[Epoch 0/100] [Batch 17/204] [D loss: 0.613365] [G loss: 5.001094, adv: 0.634594, cycle: 0.295532, identity: 0.282236] ETA: 1 day, 0:14:54.440589
